artist_name,artist_id,popularity,artist_followers,genres,image
Software,0mwCI9ZfHyOj3ENpFd6AEn,22,13305,"['vaporwave', 'krautrock', 'new age', 'space rock']",https://i.scdn.co/image/ab6761610000e5eb8676e91974c311da24b6857b
Stage,0IZ9j7jHGQ3Q17xrRwfwPD,15,454,"['italo disco', 'italo dance', 'hi-nrg']",https://i.scdn.co/image/ab67616d0000b273cc2e2d08a902c1dd3b7c88ea
Roxanne,4okNv9l4xzh7tCwnJsGSRJ,20,2962,"['italo disco', 'italo dance', 'hi-nrg']",https://i.scdn.co/image/ab67616d0000b2739c0c4b55dde767b4e7593d74
Paulo de Carvalho,7KZq6Dnxz9nVtLg45UMGEJ,34,20837,['fado'],https://i.scdn.co/image/ab6761610000e5ebac4375185489a6cb589b48ee
Anita Mui,06RD8CxzApXzuhHx54BhQL,47,238529,"['cantopop', 'c-pop', 'mandopop']",https://i.scdn.co/image/ab67616d0000b273056decf901293808232a0158
小山水城,0LAgekU1neBa10uv2XvorU,9,435,['city pop'],https://i.scdn.co/image/ab67616d0000b273dfd9cda2f24abc67f1c53239
Rosendo,0P4FkbP57uc9XBnJ9aoA3N,46,307516,['rock urbano'],https://i.scdn.co/image/ab6761610000e5eb74c41bf091be4a96cde8e2d9
André Rieu,3hJv5p2HwekJysNB2NDnEC,65,1318395,"['classical', 'orchestra']",https://i.scdn.co/image/ab6761610000e5eb683bb51f2b1caf8b536ab893
'Om' Alec Khaoli,4T9Ef2EjTe3VgLKaRdwJCE,16,3417,['bubblegum pop'],https://i.scdn.co/image/ab67616d0000b27389bbaf280af342ba73bb91a4
Derdiyoklar İkilisi,4Z7tFrFLO28HYlLFHqgOcb,13,3960,['anatolian rock'],https://i.scdn.co/image/ab67616d0000b273b64c18e28704f73375001dcf
Taka Boom,2W0FB05S1QFXtILtcn5bgT,13,780,[],https://i.scdn.co/image/ab6761610000e5eb5e9cbed29c5cf3e401339aff
Dino Merlin,7BjXGqrW02WB9cnLKKzwrK,53,412778,[],https://i.scdn.co/image/ab6761610000e5eb8d2c52ac9a64ddbbb50eb499
Johnny Gill,7oHzn7edwmrYClrPRINkbn,49,1106295,"['new jack swing', 'quiet storm', 'smooth r&b']",https://i.scdn.co/image/6a7582cabd9f40e6e908f0620dca338be429511b
Bob Mintzer Big Band,0NVOKnpYPhbUhfpgE7LrBs,18,8397,"['big band', 'jazz']",https://i.scdn.co/image/ab67616d0000b27398164d26329fae6374cb5773
Jenny Burton,2RSwLfG8Zw3ChFI2aOh4HO,12,1091,"['post-disco', 'chicago house', 'freestyle']",https://i.scdn.co/image/ab6761610000e5eb2b06546e518184aae7d66e65
Maxi Priest,3aTuTR5Nf6pVW3837q2ZL7,49,241026,"['lovers rock', 'reggae']",https://i.scdn.co/image/ab6761610000e5eb937e32099de65df5521d06e9
Englebert Humperdinck,4YewMmHFBArJGtvVb1LBdL,9,5625,[],https://i.scdn.co/image/ab67616d0000b273a64d825900667a2ee18ea100
Mišo Kovač,7MioP9oOYXmNKao9W1QnQM,37,60821,[],https://i.scdn.co/image/ab67616d0000b27362c2dbaf2c61d58f12443ae1
Rough Cutt,0PtXc1FFcAOKZjp5TXuH9c,23,22604,"['glam metal', 'album rock', 'arena rock', 'hard rock', 'glam rock']",https://i.scdn.co/image/ab6761610000e5eb5e95934b8833594bdd21da77
Razor,4jvgoG685KIVaPYwqVF60B,29,82215,"['thrash metal', 'speed metal', 'groove metal', 'heavy metal']",https://i.scdn.co/image/ab6761610000e5eb671fadc027a91628ddfadcbf
Nino de Angelo,2TWKU6gA4uorXNGR193VlO,50,189663,"['schlager', 'schlagerparty', 'neue deutsche welle', 'italo dance', 'german pop']",https://i.scdn.co/image/ab6761610000e5eb14dc67ee5d3cc67e50f7ab7f
Joe Lamont,3vloXIUVp9vu701BiQkX3B,37,4903,['album rock'],https://i.scdn.co/image/ab67616d0000b27327e69e45c56b761ade7977cc
Cutting Crew,3cniTumSiUysiPWXapGx1i,62,475774,[],https://i.scdn.co/image/ab6761610000e5eb5677d41157dee225b3633737
Pet Shop Boys,2ycnb8Er79LoH2AsR5ldjh,67,2012593,"['synthpop', 'new wave']",https://i.scdn.co/image/ab6761610000e5ebd24f448b409b6304c2880614
Beastie Boys,03r4iKL2g2442PT9n2UKsx,67,2991796,"['rap rock', 'east coast hip hop', 'hip hop']",https://i.scdn.co/image/705bcd56dc5dbf9ebc578a3ba8094e6d622862c2
Niagara,4oJ3WVkGXRBtRC0YaqMKxU,45,156740,"['variété française', 'chanson', 'french pop', 'french house']",https://i.scdn.co/image/ab6761610000e5ebf4adddf00ae0f366d4248fb8
Images,6BGRCwCR7pQWXqWNhBE2vf,45,62289,"['variété française', 'chanson']",https://i.scdn.co/image/ab6761610000e5eb83e329d8f58fd8b1c3a6ec9e
Crowded House,7ohlPA8dRBtCf92zaZCaaB,68,935564,[],https://i.scdn.co/image/ab6761610000e5eb44cb4815148bd49c0a600b89
The Communards,17U2ImH5IyYMvjkCfPhMHT,52,360683,"['hi-nrg', 'synthpop']",https://i.scdn.co/image/ab6761610000e5eb2a45fb3efcc8d9ebc6399d6d
Ludwig Von 88,1oVjBus2DBRTQmPEb0XhWQ,31,38628,"['punk', 'ska punk']",https://i.scdn.co/image/ab6761610000e5eb3db2d13ed5878769cf2fe2eb
Philippe Cataldo,587bioqEnZzulBqENkQNSO,27,3168,"['chanson', 'variété française']",https://i.scdn.co/image/ab6761610000e5ebb0b28d9cdfd1eae657a885c5
Bibie,54XkbRuI5phFiY00HJaOI2,28,2646,"['variété française', 'chanson']",https://i.scdn.co/image/ab67616d0000b273a3f6d7578202da33bb3b2ca8
Kaoru Akimoto,4LUn6its1opwPzxJC1RM72,45,61698,['city pop'],https://i.scdn.co/image/ab67616d0000b273836acd8a3ec906b36c3e2ccf
Bill Baxter,3KpXJFls6MeNgtt8uyBfmf,22,4516,"['variété française', 'chanson']",https://i.scdn.co/image/ab67616d0000b273d5ca393051f9d0a1c0c0bc85
Sir Neville Marriner,6NUhQz7eAEsZvjEHTKHux9,64,33056,"['classical', 'orchestra']",https://i.scdn.co/image/addf4464734979a85ef71a61c421f23a6bc143ae
Stephanie,16q1X9q6DxoNdqPQlYwxgM,33,11753,"['funk melody', 'miami bass', 'italo disco', 'freestyle', 'hardstyle']",https://i.scdn.co/image/ab67616d0000b27364e3d71dc1874970c8048b45
Gigi Masin,0dCVhSVXD9JhJh2bTySJZx,44,38665,['ambient'],https://i.scdn.co/image/ab6761610000e5ebc5b527ba1f84e6629eace939
Salt-N-Pepa,7wqtxqI3eo7Gn1P7SpP6cQ,60,890111,[],https://i.scdn.co/image/ab6761610000e5eb0675a243b8f4b5301f514206
Erasure,0z5DFXmhT4ZNzWElsM7V89,61,1125940,"['synthpop', 'new wave']",https://i.scdn.co/image/ab6761610000e5eb8415569615b5c7f5c03c8594
Bruce Hornsby and the Range,7CwJ4VEWs7HV7MWQt9cgyk,53,54562,[],https://i.scdn.co/image/79ed585f1a3feca47b5d8b681949f1f3942d2205
Kenny G,6I3M904Y9IwgDjrQ9pANiB,64,1185844,"['smooth jazz', 'christmas']",https://i.scdn.co/image/ab6761610000e5ebfce79bf01d99f9434108b56e
Peter Cetera,5xWPOujQqd4wXyB08slZ9Z,61,1078275,['soft rock'],https://i.scdn.co/image/d25e8d5f1d06e238771595e9b2fda6063454e85f
Glenn Medeiros,0bByarMN8ryEFQsRo6iCUN,51,125197,[],https://i.scdn.co/image/0ae2d0eb33b4fa52573983e7b2c3659b63fb3269
Stacey Q,3q8tRS0hCMVCylgKAoA0ya,45,70386,"['hi-nrg', 'italo disco', 'freestyle']",https://i.scdn.co/image/3bb7c45a4a8b4c9be15ea9ad8404e473ec0ad0bc
Hiroshi Yoshimura,1DGpHnPOpMYY780hcQHmPB,42,123718,"['ambient', 'drone', 'minimalism']",https://i.scdn.co/image/ab6761610000e5eb03b8474dfe17c711b24e5775
Samantha Fox,0ym94xKp2PIOJtTZKpxbAa,43,365559,"['hi-nrg', 'italo disco']",https://i.scdn.co/image/f0c0912bf32ffa50bc83deb459ff9d040447514b
René Binamé,1aM7JETStpPLxFJ0dPwEcJ,19,4566,['punk'],https://i.scdn.co/image/ab67616d0000b27352331774b9d4d4e486cef04e
Robert Tepper,5T1bhiyED6hokaKTechcKI,47,38848,['album rock'],https://i.scdn.co/image/fb1c66b624e21178eba7fc439dd20d0867c51113
Cinderella,7HL4id2U7FSDJtfKQHMgQx,56,1805119,"['glam metal', 'glam rock', 'hard rock']",https://i.scdn.co/image/ab6761610000e5ebaa397a18bdfd4c1dd44557c9
Yanni,72qxDp6R6v22pai96pZioz,57,530494,['new age'],https://i.scdn.co/image/6c5b35264fe2a974e01e18df8b1920a3c0737a94
The Clean,6LRmgzRManplPQghd2BMqz,41,47262,['jangle pop'],https://i.scdn.co/image/ab6772690000c46c56210f37ea10341db282d680
The Philadelphia Brass Ensemble,4F1cY6RNh8Krvzi0wfhqfV,36,2007,['christmas'],https://i.scdn.co/image/ab67616d0000b27366ace52773f095ee01930a15
1986 OMEGA TRIBE,0ECegKslGWO6zz3XzTyIwQ,42,59086,"['city pop', 'kayokyoku', 'j-pop']",https://i.scdn.co/image/ab6761610000e5ebb2d0581e8bb7dda2a783444f
Elli Medeiros,6gpCBsCNiMt5MO5sW0sexm,21,6638,"['variété française', 'french pop', 'chanson']",https://i.scdn.co/image/ab67616d0000b273527283df0635abccc21cc0ff
Pierre Billon,1oRdytqCsZR1eYC5tw6dUz,12,581,['variété française'],https://i.scdn.co/image/ab67616d0000b273812fc10cfa47cf1ca2ba2567
Poison,1fBCIkoPOPCDLUxGuWNvyo,62,3400420,"['glam metal', 'glam rock']",https://i.scdn.co/image/70ed0b201cafa20fc3e3cb30a916f91adbb604ed
Emmanuelle,0Nk7sMy6t6Kk9u6zkzF0ri,14,372,['variété française'],https://i.scdn.co/image/edf71d85b04f2af1340a3a417549eea223949195
Gregory Abbott,6zdcmro5vDQSUjeioajL2r,42,30340,[],https://i.scdn.co/image/ab6761610000e5ebaa8bde13fb5bd63002732f4c
Candlemass,7zDtfSB0AOZWhpuAHZIOw5,43,264747,"['doom metal', 'sludge metal', 'stoner rock', 'metal', 'gothic metal']",https://i.scdn.co/image/ab6761610000e5ebd2d79fca1c03254a3fb52d74
Rui Veloso,1HHcnYrMqv4xpwHJAzUfqO,45,261995,['fado'],https://i.scdn.co/image/ab6761610000e5eb2dc4886f0182279645cb3507
Nu Shooz,2The4Ur661sLPGndcUuuLu,44,121047,['freestyle'],https://i.scdn.co/image/23cb44389552a8cafc29821e48192df85a4b1587
The Housemartins,77D38RDgCtlYNLpayStftL,50,262303,['jangle pop'],https://i.scdn.co/image/bb164b73bcad092c2362fb6dcb1b41e25a61b991
Sword,6RNuNpxyKhqaGRQTboO3Kf,36,17428,"['speed metal', 'heavy metal']",https://i.scdn.co/image/ab6761610000e5eb37559960d6d7d0f8d9351113
Arnold Turboust,3z8iQqWLPw51mizHQ3Qu3U,14,857,['french pop'],https://i.scdn.co/image/ab6761610000e5eb1072d34241986bd4868d9cf9
Jean Beauvoir,3n99AZrLOuuAtHvu12uDDC,23,3151,"['album rock', 'arena rock']",https://i.scdn.co/image/06a8c00a4acda481c33330e8b0f4d80390dafcd7
Fabienne Thibeault,4TzUcfMmDAPfGU8rRM5QqS,36,21375,"['variété française', 'chanson']",https://i.scdn.co/image/ab67616d0000b2737f452625085796bd4ebe65a8
Jean-Claude Petit,34cceKIEdiCrj3DTaf9vbZ,14,815,[],https://i.scdn.co/image/ab67616d0000b2737f70bc554a8261fbc1bc2023
Joy Peters,4Mn2Jjt0yKvJHydrRcEOF9,31,2616,"['italo disco', 'italo dance', 'hi-nrg']",https://i.scdn.co/image/ab67616d0000b27376026382620fd28e1632c9f0
Los Enanitos Verdes,4TK1gDgb7QKoPFlzRrBRgR,71,4654747,"['rock en español', 'latin rock', 'argentine rock', 'mexican rock', 'latin alternative']",https://i.scdn.co/image/0a44319db623b112c3fddca7a1ef88b5756265cd
Malavoi,0bwkyuCJ6J20GtSwChI2x6,25,15740,['zouk'],https://i.scdn.co/image/ab67616d0000b2730704787dc0825183fd061542
Tesla,0dgnITyIAN4NrmUVisvxHU,50,974043,"['glam metal', 'glam rock', 'hard rock']",https://i.scdn.co/image/ab6761610000e5ebe704e74d59e725e416c960e0
Den Harrow,6MGgGiYVx0HmkVIHlFEazO,30,21604,"['italo disco', 'italo dance', 'hi-nrg']",https://i.scdn.co/image/ab67616d0000b273c48f72a952db59d5e81d7c9e
Lounès Kheloui,52YyIxH0lyAx12pp1neaRE,20,11307,"['moroccan chaabi', 'algerian chaabi', 'gnawa', 'raï']",https://i.scdn.co/image/ab67616d0000b273414f03f3e338cc3ec9ad5b75
Elenco De Eterna Navidad,7dyP3dRIa8kriG2C0Z8xUr,0,1059,[],https://i.scdn.co/image/ab6761610000e5eb2368a713ee8a22e7c503c380
Selda Bağcan,2NGRETzxjeN4b9o3OGY6Yn,55,1351406,"['anatolian rock', 'arabesque']",https://i.scdn.co/image/ab6761610000e5eb5fb603336b1c2fb3f9cd49f0
Book Of Love,0ow8F3xGkmZWVulTtaiFQo,35,60152,"['new wave', 'synthpop']",https://i.scdn.co/image/a972fda7076e501fc6552b698939679e6a9c6dfd
Peter Best,4GmxQ2NHV9KlKJ5iJOEmUG,24,705,[],https://i.scdn.co/image/ab67616d0000b2736a738ac0bac5dbc911c73f33
Tziganes russes,6W4qgBYUDHG0LzZWl8ZUEJ,10,535,[],https://i.scdn.co/image/ab67616d0000b273df8812befe208f2528831397
Robert Haig Coxon,5h1hhJNC7zE9yzuC7NzlAP,45,17524,['new age'],https://i.scdn.co/image/ab67616d0000b2737e699ac3ed69bf66ab291989
Münchener Freiheit,353KPo8gVAfcZfwF7BPZDy,50,150308,"['neue deutsche welle', 'schlager', 'schlagerparty', 'german pop']",https://i.scdn.co/image/912c77c1f96ff4abcbd0403d23ed96f7f07dbdd7
Fra Lippo Lippi,1Oi99c5Uoxbg8nJT8WprBw,53,173757,['new wave'],https://i.scdn.co/image/ab6761610000e5ebabe3dea2022f0fb3ac0b2bc0
Arnaud Dumond,1BbOqTsLJ2L0VAnT0PVVRL,22,710,['chamber music'],https://i.scdn.co/image/ab6761610000e5eb9d0f548ed8b34ad7befc5932
Junco,19WQtApO8bp44xVTR4D138,48,186906,"['flamenco', 'flamenco pop', 'flamenco urbano']",https://i.scdn.co/image/ab6761610000e5ebde002c2ea1760b56a930aedd
Robbie Nevil,4NkLjsRsFnuPu9B4zqzBqq,31,20388,[],https://i.scdn.co/image/ac9775f2d09e243cc02b989d16bf7d0cdd9ef225
Duncan Dhu,2MLHBMApNE5h8wIufiTPs7,62,863897,"['rock en español', 'latin rock']",https://i.scdn.co/image/ab6761610000e5eb8c48e34bde27f0935efb8a30
Koffi Olomide,7e14Bh8oZXNRmZxjhhTARb,51,531701,['rhumba'],https://i.scdn.co/image/ab6761610000e5eb8e4b5946ca3ca42359d9b5ee
Steve Earle,2UBTfUoLI07iRqGeUrwhZh,57,308184,"['alt country', 'americana', 'country rock']",https://i.scdn.co/image/ab6761610000e5eb2d8477e378b868e9d4e60d5b
Larry Heard,3j7teie3p6UnbA8nW51Trz,33,60798,"['chicago house', 'acid house']",https://i.scdn.co/image/29dd50d9a51002524ea2354c9fed0b5ec34b8ae6
The Mission,4SAdMucvHyws4QTeAUsPtE,40,177470,"['deathrock', 'darkwave', 'post-punk', 'new wave', 'cold wave']",https://i.scdn.co/image/ab6761610000e5ebb3ccb521ca3869734ccc48b6
Charlotte Gainsbourg,2rBcvLKWCZs9w1qIWv560v,45,242314,['french pop'],https://i.scdn.co/image/ab6761610000e5eb5c6941ccec946b6e52c87362
Les avions,37eldcqz0KVutjJGQuoeNo,21,7183,"['variété française', 'french pop']",https://i.scdn.co/image/ab6761610000e5eb034f57fa9a0a8c65d64004bf
Wayne Smith,7kwcin6f7eYIvo6hG3GEn4,29,11295,"['reggae', 'dub', 'ragga', 'roots reggae', 'dancehall', 'rocksteady']",https://i.scdn.co/image/ab6761610000e5eb1862490fccf2b98844d9c3db
Ronald Rubinel,1uLM0k56XpKU4iJYhVHePa,10,6639,"['zouk', 'kizomba']",https://i.scdn.co/image/ab67616d0000b273816852771ab225428b69f1bc
Hipsway,5Qnpdt4MtT54U7fFNEYDTZ,25,14681,[],https://i.scdn.co/image/ab6761610000e5eb230aa48b235be5ea477c7708
Dwight Yoakam,2sxmKe3CUrWnx7eoXMhOlW,58,722399,"['country', 'honky tonk']",https://i.scdn.co/image/ab6761610000e5eb28aebc3eaddd7d0f5f2d0eb7
Roberto Torres,0tMEHta5p06GCSdnSPNS8B,39,51960,"['salsa', 'son cubano', 'salsa romantica', 'música tropical', 'cumbia']",https://i.scdn.co/image/ab67616d0000b273c595de71af69acc1fb7e8fa4
Crimson Glory,2B73nUiRlcSwjTyVaIAwhR,34,60781,"['progressive metal', 'power metal', 'heavy metal', 'speed metal']",https://i.scdn.co/image/bceec36bbe42ed764f62e3074a3697c4d8390959
Rafael Riqueni,5eye4DlE12OQi676MhZGM4,31,13147,['flamenco'],https://i.scdn.co/image/ab6761610000e5eb3b61677cea55de8b0e7f3ceb
Ouzaid,2qxEVcsKW9oMDbv04flGJt,12,4946,"['algerian chaabi', 'gnawa']",https://i.scdn.co/image/ab67616d0000b27330edf66b039a54e226622570
Randy Travis,1pTuR132U5b4Rizal2Pr7m,64,1879943,"['christian country', 'country', 'traditional country']",https://i.scdn.co/image/ab6761610000e5eb275c8cd25c77691993106b5d
Sandra Kim,4dhrlsu6mKvOwJWOrwnkuV,29,4577,[],https://i.scdn.co/image/ab6761610000e5eb8670af7bdb592f8e4623c188
The Robert Cray Band,6cAtGdArQhrU7tTBoeWY3P,43,114600,"['blues', 'modern blues', 'blues rock', 'soul blues', 'classic blues']",https://i.scdn.co/image/b299463abe626d9297867d0ef43d1c4a594be7de
The Georgia Satellites,2hnzQ6eCFkxUIPsVcsdj8A,46,228257,['southern rock'],https://i.scdn.co/image/7566a85bd529cdfcd242491eb4a15ab3d3011061
Cengiz Coşkuner,6wzAEOPDFC6Rcusl6Qvovw,31,4242,"['arabesque', 'anatolian rock', 'oyun havasi']",https://i.scdn.co/image/ab67616d0000b27398af514ff0cfae436c0bcf80
Doctor & The Medics,0auxGqduSBWubpKjjSNKLr,31,6157,['glam rock'],https://i.scdn.co/image/6456a124a1c56d84365d9a55f682b9425c70e190
Do Piano,4CK3Y8eBHTvbsJHcSzUUsz,20,734,"['italo disco', 'italo dance']",https://i.scdn.co/image/ab6761610000e5eb4512409250a510f784c1e7f3
Vicious Pink,5De1ZtOD9ZUyckEjIKFXAi,23,9124,"['synthpop', 'italo disco', 'hi-nrg', 'new beat', 'new wave', 'italo dance', 'chicago house']",https://i.scdn.co/image/ab67616d0000b273fb422b3894690c99bb205a4c
Sigue Sigue Sputnik,6GKVXdXGEOPzpilArcqBun,31,35889,['new wave'],https://i.scdn.co/image/9746647b2a5a41fd3027de7edc7fd5032ac33cdd
Arthur Russell,3iJJD5v7oIFUevW4N5w5cj,44,141751,"['art pop', 'minimalism']",https://i.scdn.co/image/ab6761610000e5eb3cfb09a7764e1ad77e323c18
Dark Angel,0RFQyVQGVcECxnuSLvEKxV,30,164425,"['thrash metal', 'speed metal', 'groove metal', 'metal']",https://i.scdn.co/image/ab67616d0000b2732ef05b39eaf74efbcf39a6e0
Chick Corea Elektric Band,2ReTnNzaUAM6RgKCtlvMPf,33,121122,"['jazz fusion', 'jazz funk', 'jazz']",https://i.scdn.co/image/ab6761610000e5eb82f20e05e6753f6db4cb51da
El DeBarge,5xO4f5QyPMYnCPRyRveBSD,44,373133,['new jack swing'],https://i.scdn.co/image/7df8fb62afd1287636381ca2572ebbdf1960ef4e
