artist_name,artist_id
Le Rat Luciano,5QuZ9HdvnXcX8kEG782Phv
Anastacia,2siHvYaxjaW5rKVRiIrMYH
Eric Clapton,6PAt558ZEZl0DmdXlnjMgD
Java,2EaYvd5IQJYvfc7o44RKJi
KDD,0wNPt95tKAlBygX040Zi0V
Akhenaton,4ddg7PH5OuSossiSBWgueu
Silmarils,03X1ph7ZGfqb3W3Ld5lJKH
Tryo,4ZP3CHz28XWVLGiaVVWuLj
The Corrs,1VbWUxZTRNY2gw3qZ1tg9W
Mystik,5x8YMWd2tIBdDzuIJM6WFi
Johnny Cash,6kACVPfCOnqzgfEF5ryl0x
Whitney Houston,6XpaIBNiVzIetEPCWDvAFP
Reflection Eternal,6vwJ3e6KaQAhLEpBPxCMBC
Xzibit,4tujQJicOnuZRLiBFdp3Ou
Wyclef Jean,7aBzpmFXB4WWpPl2F7RjBe
Ice Cube,3Mcii5XWf6E0lrY3Uky4cA
Backstreet Boys,5rSXSAkZ67PYJSvpUpkOr7
Nicoletta,1XspV6teuaJMwVq0QBXZA0
Snoop Dogg,7hJcb9fa4alzcOq3EaNPoG
D'Angelo,336vr2M3Va0FjyvB55lJEd
Wolfgang Amadeus Mozart,4NJhFmfw43RLBLjQvxDuRS
Morcheeba,6bWxFw65IEJzBYjx3SxUXd
Ludwig van Beethoven,2wOqMjp9TyABvtHdOSOTUS
Tracy Chapman,7oPgCQqMMXEXrNau5vxYZP
Denez Prigent,1qid89y11TF9zHS8N3FibN
Françoise Hardy,7x3f7c0fBanNlQwpx1255g
Benjamin Frith,0g33P9zonyHhsIQJ1LUC8X
Julie Zenatti,3CoYG5pUuCzGnXzPoOkaNY
Paul Anka,7ceUfdWq2t5nbatS6ollHh
Ronan Keating,3nlHsNqwCSvT988ZfSW1Yh
Osama Al Safi,68z4yS5v7bUhRbrZpPRRI1
Mary Mary,12Kgt2eahvxNWhD5PnSUde
Gloria Gaynor,6V6WCgi7waF55bJmylC4H5
Étienne de Crécy,78YRbJhMi5kXKruiQGCJo7
Alan Braxe,24JRvbKfTcF2x7c2kCCJrW
Spiller,4bmymFwDu9zLCiTRUmrewb
A Perfect Circle,4DFhHyjvGYa9wxdHUjtDkc
De La Soul,1Z8ODXyhEBi3WynYw0Rya6
Phats & Small,4WLGcWrkSExCqILxDk7ol6
Flogging Molly,5kQGFREO5FzMBMsAO3cEtj
Bob Sinclar,5YFS41yoX0YuFY39fq21oN
Tosca,0TYvluyvV1Es8lTHiBfnAn
Cypress Hill,4P0dddbxPil35MNN9G2MEX
Lady,6hypRnnHgJCcAxt6XAAH6s
Blonde Redhead,5isqImG0rLfAgBJSPMEVXF
Johnny Hallyday,2HALYSe657tNJ1iKVXP2xA
Sum 41,0qT79UgT5tY4yudH9VfsdT
Ska-P,2fiiGUBgPsIKDCE0bTthnl
Les Sales Majestés,1qMwG3Gg5RJkSMXS8dFWYw
Sonique,5xtqw2B8z8JGfDYi2eAZHI
Safri Duo,2UOx6w3eHpPKc3RBnNV3Rl
Rémi Guichard,2fJR6skAOWHwNlYPCd5Spe
Bonobo,0cmWgDlu9CwTgxPhf403hb
Les Rita Mitsouko,7CdlYgtOoxBtNjuDeIxSPM
Goldfrapp,5BKsn7SCN2XmbF7apdCpRS
Johann Sebastian Bach,5aIqB5nVVvmFsvSdExz408
Patrice,1fBcQOi8yEfWN7fknMoqIE
Brigitte Bardot,1q24xIsAD7JZuVkTLR9TJy
Duster,5AyEXCtu3xnnsTGCo4RVZh
Jean-Baptiste Lully,19v0Cnq5D4SKom8SVlXhkw
The White Stripes,4F84IBURUo98rz4r61KF70
Jill Scott,6AVLthptCPhfrxlHadOBJD
The City of Prague Philharmonic Orchestra,2oQJQUIpJFFnfKvHJA0xBu
Westlife,5Z1CCuBsyhEHngq3U5IraY
Joe,3zTOe1BtyTkwNvYZOxXktX
Cat Power,6G7OerKc3eBO9sVkRNopFC
Dead Prez,2UBt0GWBuPVXlPisRvWzlD
Musiq Soulchild,3UVRliakQfa1pMWIsNuiZ8
Elliott Smith,2ApaG60P4r0yhBoDCGD8YG
Kelly Price,49FeZO3eSrJs7oH7lYLU1r
Anouar Brahem,1aO9NulHwrE9pxHXFfCIoM
Ludovic Morville,1AVO7Czgwvhs07ZZmRiyKj
The Jackson 5,2iE18Oxc8YSumAU232n4rW
Mano Solo,2MfAaMT9qmkHIBnU1ofzAP
D.I.T.C.,6fF9HxdiSPGCXar8svBeHS
Alexander Scriabin,6nZiWg5ZB511S24WmB7TCV
George Benson,4N8BwYTEC6XqykGvXXlmfv
Eva Cassidy,6fNmOWQzfOVyHLQ2UqUQew
