artist_name,artist_id
Macintosh,2pKJOt2xoggWyKo7sg1wHS
Jay Hen Gwoppa,5OfYH9Z57qkDZzbbiNWES9
DALEPAILSNAIL,4u2pIABTH40GkiQwMYvMuL
SIVIN SIMON V,5B3lwfM26VqFozGaid3LhW
Sunkidi AZ,0AENEf6L9ImpnDA8jGNYMN
Trilldylxo,1whZ9wZZPwCq658Um7DtUp
Jackson Kerr,1eRWmaP1EJ0tuMLJ4CmbRV
IA da Silva,1cYfGtZwXCeTsK05jVdDWH
Giscojay,6PYhiaCD3TcZV8Rcb3oFyi
99% Fat Free,5SzRGwyV4CEibvIpvzOQFy
Hells Crybaby,4qfsZ2w4mTt3Kx7qoxzg6p
Extension DSG,0W0Ic70tzbxawaOJZchnc1
joey roque,11MBKb57L3HI0dQneBD4In
Joaquim Ruyra,346CghmvZIfLr4ByBjEM3l
Program Love,6Rbtpce2eRfmHZ6JPvoIsS
Gibran Khalil Gibran,4HWHsOEJrgPmgO2T2mJbrb
Aaron Beta,79svKl78KO4ZsNmqSHvoPU
Edward Johnson,10oAEFeg6rjFRK3Iyyx715
Gounod Mixed Trio,75wqReKSzHdvNxXL0dDBtL
Max Fells' Della Robbia Orchestra,7fIzthd9u6bW6K9eTffELY
Maurice Burkhart,37cvALVXmkXhDismEGfOeG
JUGG£R J,1yB8r0khgL9jnyFUlMtopF
Frederick Delius,59Ldn2WvTIaJe9qkyyv4JM
Lanin's Roseland Orchestra,5FZ3ce1gbbZBWSSWp5M3zW
Bal Tabarin Orchestra,7Les20HFIdyj2TtczxikiJ
"Tram, Bix and Lang",5nkz4X8KzEVXVh8udg2yI0
Call Me Warthog,0uVQwUXEpjgl3FKb9Xf4cd
੭。╹▿╹。੭,7hKm1tp4Kpipgjlocj8Pfn
OSNACH,1xzQRM8hSRsnYfYKNbX4Fq
Green Brothers' Novelty Band,7s2x7IArv99AQz9OQNxAxw
Delaisla.lf,3xm0r7pj1EvLRrYIzRBa2T
Kakoli Mazumder,2aiQBUtmQerv8weRLDZAPS
coastwise,0ab02QXBYmacAzeWsaPsKR
Floyd Wayne,41IN57ZE4KX1enk99CVl76
Lil Piss Pants,1ylaoVWOviocO3pC3WTfE9
THE <3-OIS,3TBV3JQVN4Yu86Oj9zpd5d
1OneHand,3xDFvm80lmUNbkhoDOtv1X
Gil Perez,7y4K6wBiWrZL2F9MGMPq0Z
H.P. Lovecraft,6VF7eMgoQIHyufTkib3Fff
Tommy Dorsey Orchestra,1eOE35R4NC60yvasrSxOED
Siren Sinfull,4kTZaATXa6KhfNUVNpl9Zj
3D Wuap,2PQTyCcdzRtesm4tfKmCa1
Nora Bayes,07XP1X7DKYmyHFqsqvk7wm
Sterling Trio,3Q7D8grQFezzaIeqn1hqbA
ANTIMANUAL,0rCMfrTq9NfpuqiyyRcLgq
Louse,4789wQQ5l3j1LDfvw2OOLj
Bug Davies,05mlJiH4qkuSIADaePogmh
California Ramblers,58QmjBTIOwXVHD2oWzNkQF
The Bada-Ba-Ba-Ba's,5LgxRR1wszAksg7xmtNTXC
Giovanni Papini,5ALDnXQlKc8BhPufoL0Ck2
Anurag savita,7mwG4B2lao17K8ziZUGa8n
Solkar,19NQ9xeIfAuAWB7ZXW8o3D
Lil Percoskett,7fk5gkB25LNd76NY5XsAuo
prodbyvxnk,0FcaCbDBg1gkNq0UZn4tLi
srlil,1p1Cs4kVKXWug1EMLamTdd
DoubleCupp,1V3Z6a2Jm1LhETOAi4LKue
Sara Martin,5cQ0AShKCcmTEqVpSeRoS1
James Bell X,2Ca3kLIZ79Uck8BINzmTYL
biex,0I67oA7bkFxUNpkiblLmFc
SpAzz DaNkYy BuDdz,6cVyyqQ07N0lt75AGRG9Nq
Joel Denney,1DkUZ7tptdIeTPLhp7N9VL
Tr0ma,0YBDLeljbi4meR3NUwaWKr
Callsign,2YqyUoCIk2tc5X8xQFQxHV
BEN $ FRANK,2kXx2DqF5JAITrcPjUVhhR
Jodoli,3YQHwDAcY5XpwQlrlJmkD6
Rafa Craft,7nGWaFqS1AKkpxwMdFVzwu
TRECENTO,2yyxH9chWKFLzeFt5t4Lm1
BabyFaceGnar,3jJpobMN26aGjp2jFIsaG9
Gahell La Leyenda,47j0bB0Ql8iJZVahYbaDcn
Al. H. Weston and Irene Young,6zrydmf8JkWehyJtidvG2A
Shams Arefin,4X4kwT1o8T1yS4DL1bc0gC
Eddie Cantor,2pDFdLHKOmzKiNDzkz7p8L
Jack Jenney,62dZK565BSdyRwiD6a2KPy
Emotional 80's Chill,3LUHA9Mi744RMymkaQa90l
The Benson Orchestra of Chicago,514pZIJuh6mVlX1VQ34VGq
Spiritiger,0Av43cR8yeTeJk9f2vQOGz
Katherine Mansfield,5bK99Zwm7CwtnoYFrwidyR
Al Bernard,1wAtItfuuI7wNBxDtRnnA4
Iлюжан,5CH9xZMmuya3cfHhY8FNmI
DJ Robbie Rods,1RMzPNkM3xTt6AwCafh1Ra
three6ricky,7s5aCG1S8IKvHmdYZ9J0IP
Premier Quartet,43r3pPteEP2makp8w766SH
NUMBA5,3T4sUsKyBDYn9s68yid3vL
Psycho Surg,5cIUBXc1G05qjrcpo9tAP2
maxmelly,6Zl2Jv9BUW1w2ASpS4KIqs
Ludwig van Beethoven,2wOqMjp9TyABvtHdOSOTUS
Igor Stravinsky,7ie36YytMoKtPiL7tUvmoE
Robert Schumann,2UqjDAXnDxejEyE0CzfUrZ
Cheroke,3YyguYX5btO5h9v0m6KFOB
Edward Elgar,430byzy0c5bPn5opiu0SRd
Bastian G,5XhmvwpZQra4U36QD2Z9cQ
D1every,63aBiU9QD6HiZv6sCwCxFg
Greg Fieler,5nWlsH5RDgFuRAiDeOFVmf
Horacio Quiroga,4VstroeAUWSKMmRTnP87uv
Exquisite Classical,6jtuqi66mzAmzeGeUC28VK
Stony Brook Symphony Orchestra,2OQWebK2p1K9QgzWuHfYFg
Raff,0j4jel1dKRgfz8E9teKbnj
Trixie Smith,2PZOCtYZ3hDMpMVN8yIHc9
Lizzie Miles,7u9jicjzN1GUyXvX5FROHN
Fletcher Henderson,2ovJLSejirvJybNers2YG6
Nick Lucas,0QMxshFmGwF4vcedM4pHEw
Asterixo,2wEkySIthpNrqXhDdLncm8
Majentta,1Oz5IN01diOZW7RiIddtxh
ANEURGASM,5sitqIl1l6aw63D4K9CDqa
"Ruth Laredo, Sergei Rachmaninoff, Yuri Temirkanov",5XiNn6zkjICGBmIoL5BQTn
Corinne Tiatia,0iWhs1TrniTmXHdOYJgopm
Mekbok,5lLZ4z8SoTKqimIRsi7Nkg
Fanny Brice,13dV8RDgoexJINGhkS7sLR
Count Basie Orchestra,2Hn9fch2OLB5jZuEAVjTCe
Michel Stella,50bT9Qt9V5UeCjmvjhmSR9
sHeFf_pOLy,0CxTKMyx9G4gB0rHnN4xU1
Safiye Ayla,0xsueYxjFxn3v5VAR9YkT9
Beniamino Gigli,78qb0nLAzypzePDYBGYl8F
Darüttalim-i Musiki Heyeti,0X18Q0Kc9Shxk9WtLgeYwS
KHP Kridhamardawa Karaton Ngayogyakarta Hadiningrat,7u5sCPrTVbLMZMlogVRZc0
Albert Coates,3Gb2dsGiKKpWbhJ9NVrD3y
All Star Trio,3Q7yI3LZdATHymJ8cQazpq
Marigold Rose,177JIm6asoHVYz9WixxNrV
Kabul Bukhari,14KvoiphLvP8UmalvMqT49
Paul Specht,1tCrPspkGQyLDhWFmTZanI
Ignacio Corsini,5LiOoJbxVSAMkBS2fUm3X2
Fanzypapaya,3komiXhp0VwYKgUWRjd389
Victor Concert Orchestra,3a1OHExkWzZXtwxOpw1pyf
